X var1,X var2,Y var1,Y var2,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
Arts,WD,Arts,WE,1,0.40649652,0,1,2,0.77039176
Arts,WD,Event,WE,1,0.83427346,0,1,2,0.40709525
Arts,WD,Food,WE,1,0.5581311,0,1,2,0.6647322
College,WD,College,WE,1,0.41211933,0,1,2,0.76673377
College,WD,Professional,WE,1,0.43812668,0,1,2,0.7495821
Event,WD,Outdoors,WE,1,0.31184983,0,1,2,0.8295482
Event,WD,Shop,WE,1,0.36762464,0,1,2,0.7952203
Event,WE,Arts,WE,1,0.26049787,0,1,2,0.8599431
Food,WE,Arts,WE,1,0.08248621,0,1,2,0.9578694
Food,WE,Event,WE,1,0.17021155,0,1,2,0.91092724
Outdoors,WD,Travel,WE,1,0.093454,0,1,2,0.9521271
Professional,WD,College,WE,1,0.26105148,0,1,2,0.85962117
Professional,WD,Professional,WE,1,0.3220533,0,1,2,0.82337517
Professional,WD,College,WD,1,0.27607286,0,1,2,0.8508391
Professional,WE,College,WE,1,0.08036214,0,1,2,0.9589775
Shop,WD,Travel,WE,1,0.3422125,0,1,2,0.811041
Shop,WD,Outdoors,WD,1,0.13720381,0,1,2,0.92886823
Shop,WE,Outdoors,WE,1,0.030574083,0,1,2,0.9845943
Arts,WD,College,WE,0.91829,0.8759178,0,0.54879,2.5849626,0.2058452
College,WD,Event,WE,0.91829,0.5299575,0,0.54879,2.5849626,0.62316334
College,WD,Outdoors,WE,0.91829,0.40181738,0,0.78807,2.5849626,0.7186603
College,WD,Shop,WE,0.91829,0.39517438,0,0.78807,2.5849626,0.7232673
Event,WD,College,WE,0.91829,0.22334594,0,0.78807,2.5849626,0.83363307
Event,WD,Arts,WD,0.91829,0.5060415,0,0.54879,2.5849626,0.6420658
Food,WD,College,WE,0.91829,0.693156,0,0.54879,2.5849626,0.47448286
Food,WD,Arts,WD,0.91829,0.14685965,0,0.78807,2.5849626,0.8783111
Food,WD,Event,WD,0.91829,0.20612437,0,0.54879,2.5849626,0.8438991
Nightlife,WD,Nightlife,WE,0.91829,0.43716332,0,0.78807,2.5849626,0.69363296
Nightlife,WD,Residence,WE,0.91829,0.18199432,0,0.78807,2.5849626,0.85807675
Outdoors,WD,Event,WE,0.91829,0.1645906,0,0.78807,2.5849626,0.86815864
Outdoors,WD,Outdoors,WE,0.91829,0.151919,0,0.78807,2.5849626,0.8754262
Outdoors,WD,Professional,WE,0.91829,0.37472892,0,0.65485,2.5849626,0.73726594
Outdoors,WD,Shop,WE,0.91829,0.21769494,0,0.78807,2.5849626,0.83701557
Outdoors,WD,College,WD,0.91829,0.16292638,0,0.65485,2.5849626,0.8691166
Outdoors,WE,Event,WE,0.91829,0.043079734,0,0.54879,2.5849626,0.9355267
Professional,WE,Event,WE,0.91829,0.3962319,0,0.54879,2.5849626,0.7225359
Professional,WE,Outdoors,WE,0.91829,0.1498732,0,0.78807,2.5849626,0.8765939
