id,latitude,longitude,localtime,timestamps,conds,winddird,windspd,temperatur,fog,rain,snow,thunder,tornado
1,40.67,-73.94,2014/01/31 00:51,1391147460,Mostly Cloudy,0,0,-3.9,0,0,0,0,0
2,40.67,-73.94,2014/01/31 01:51,1391151060,Clear,260,16.7,-3.3,0,0,0,0,0
3,40.67,-73.94,2014/01/31 02:51,1391154660,Clear,280,9.3,-3.3,0,0,0,0,0
4,40.67,-73.94,2014/01/31 03:51,1391158260,Clear,0,0,-2.8,0,0,0,0,0
5,40.67,-73.94,2014/01/31 04:51,1391161860,Clear,0,-9999,-2.2,0,0,0,0,0
6,40.67,-73.94,2014/01/31 05:51,1391165460,Clear,260,14.8,-2.2,0,0,0,0,0
7,40.67,-73.94,2014/01/31 06:51,1391169060,Overcast,260,14.8,-2.2,0,0,0,0,0
8,40.67,-73.94,2014/01/31 07:51,1391172660,Mostly Cloudy,260,13,-2.2,0,0,0,0,0
9,40.67,-73.94,2014/01/31 08:51,1391176260,Mostly Cloudy,280,7.4,-1.7,0,0,0,0,0
10,40.67,-73.94,2014/01/31 09:51,1391179860,Overcast,270,16.7,-0.6,0,0,0,0,0
11,40.67,-73.94,2014/01/31 10:51,1391183460,Overcast,0,7.4,0,0,0,0,0,0
12,40.67,-73.94,2014/01/31 11:51,1391187060,Overcast,260,9.3,0,0,0,0,0,0
13,40.67,-73.94,2014/01/31 12:51,1391190660,Overcast,280,9.3,1.1,0,0,0,0,0
14,40.67,-73.94,2014/01/31 13:51,1391194260,Mostly Cloudy,270,11.1,2.2,0,0,0,0,0
15,40.67,-73.94,2014/01/31 14:51,1391197860,Mostly Cloudy,300,11.1,3.9,0,0,0,0,0
16,40.67,-73.94,2014/01/31 15:51,1391201460,Overcast,290,9.3,3.9,0,0,0,0,0
17,40.67,-73.94,2014/01/31 16:51,1391205060,Mostly Cloudy,0,0,3.9,0,0,0,0,0
18,40.67,-73.94,2014/01/31 17:51,1391208660,Scattered Clouds,280,9.3,3.9,0,0,0,0,0
19,40.67,-73.94,2014/01/31 18:51,1391212260,Overcast,0,0,3.3,0,0,0,0,0
20,40.67,-73.94,2014/01/31 19:51,1391215860,Clear,270,9.3,3.3,0,0,0,0,0
21,40.67,-73.94,2014/01/31 20:51,1391219460,Clear,260,5.6,2.8,0,0,0,0,0
22,40.67,-73.94,2014/01/31 21:51,1391223060,Overcast,0,0,2.8,0,0,0,0,0
23,40.67,-73.94,2014/01/31 22:51,1391226660,Mostly Cloudy,270,9.3,2.8,0,0,0,0,0
24,40.67,-73.94,2014/01/31 23:51,1391230260,Clear,0,0,2.8,0,0,0,0,0
25,40.67,-73.94,2014/02/01 00:51,1391233860,Clear,0,0,2.8,0,0,0,0,0
26,40.67,-73.94,2014/02/01 01:51,1391237460,Clear,320,5.6,2.8,0,0,0,0,0
27,40.67,-73.94,2014/02/01 02:51,1391241060,Mostly Cloudy,0,0,2.2,0,0,0,0,0
28,40.67,-73.94,2014/02/01 03:51,1391244660,Clear,0,0,2.8,0,0,0,0,0
29,40.67,-73.94,2014/02/01 04:51,1391248260,Clear,0,0,2.2,0,0,0,0,0
30,40.67,-73.94,2014/02/01 05:51,1391251860,Clear,0,0,2.2,0,0,0,0,0
31,40.67,-73.94,2014/02/01 06:51,1391255460,Clear,0,0,2.8,0,0,0,0,0
